tconst	averageRating	numVotes
tt0000001	5.7	1876
tt0000002	5.9	248
tt0000003	6.5	1648
tt0000004	5.8	160
tt0000005	6.2	2475
tt0000006	5.2	165
tt0000007	5.4	771
tt0000008	5.4	2016
tt0000009	5.3	193
tt0000010	6.9	6775
tt0000011	5.3	344
tt0000012	7.4	11635
tt0000013	5.7	1795
tt0000014	7.1	5214
tt0000015	6.2	991
tt0000016	5.9	1403
tt0000017	4.6	305
tt0000018	5.3	561
tt0000019	5.2	30
tt0000020	4.8	332
tt0000022	5.1	1036
tt0000023	5.7	1355
tt0000024	4.4	88
tt0000025	4.3	40
tt0000026	5.7	1468
tt0000027	5.6	1091
tt0000028	5.1	1009
tt0000029	5.9	3201
tt0000030	5.2	799
tt0000031	5.5	955
tt0000032	5.0	394
tt0000033	5.5	972
tt0000034	5.0	187
tt0000035	5.5	76
tt0000036	4.4	580
tt0000037	4.4	62
tt0000038	4.2	193
tt0000039	3.7	26
tt0000040	4.4	61
tt0000041	6.8	1726
tt0000042	4.2	36
tt0000043	3.6	31
tt0000044	4.1	42
tt0000045	4.1	31
tt0000046	4.2	33
tt0000047	3.7	33
tt0000048	4.9	176
tt0000049	5.1	46
tt0000050	4.2	33
tt0000051	3.8	33
tt0000052	4.4	91
tt0000053	2.9	17
tt0000054	4.9	33
tt0000055	3.8	29
tt0000056	3.2	21
tt0000057	4.3	31
tt0000058	4.3	31
tt0000059	3.6	26
tt0000060	7.6	84
tt0000061	4.1	23
tt0000062	6.4	188
tt0000063	3.6	26
tt0000064	3.4	27
tt0000065	3.6	27
tt0000066	3.4	27
tt0000067	5.7	57
tt0000068	3.7	29
tt0000069	4.9	425
tt0000070	6.4	2540
tt0000071	3.5	28
tt0000072	3.8	26
tt0000073	3.6	29
tt0000074	4.7	30
tt0000075	6.3	1811
tt0000076	4.5	510
tt0000077	4.6	33
tt0000078	3.9	71
tt0000079	4.4	34
tt0000080	4.1	30
tt0000081	4.2	31
tt0000082	4.8	46
tt0000083	4.7	31
tt0000084	4.5	29
tt0000085	4.7	31
tt0000086	4.3	32
tt0000087	4.7	36
tt0000088	4.3	31
tt0000089	6.3	958
tt0000090	4.1	30
tt0000091	6.7	3357
tt0000092	4.7	28
tt0000093	4.8	89
tt0000094	4.5	30
tt0000095	4.8	33
tt0000096	4.5	28
tt0000097	5.0	32
tt0000098	5.1	35
tt0000099	4.7	31
tt0000100	4.8	50
tt0000101	4.7	27
tt0000102	4.8	25
tt0000103	5.4	26
tt0000104	5.6	447
tt0000105	5.0	28
tt0000106	4.5	22
tt0000107	5.2	27
tt0000108	4.4	519
tt0000109	4.5	505
tt0000110	4.4	508
tt0000111	4.5	523
tt0000112	4.5	502
tt0000113	4.3	526
tt0000114	5.1	29
tt0000115	4.8	33
tt0000116	5.1	26
tt0000117	5.2	156
tt0000118	5.1	27
tt0000119	5.3	50
tt0000120	5.2	47
tt0000121	4.3	74
tt0000122	5.1	30
tt0000123	5.7	119
tt0000124	5.1	29
tt0000125	4.8	14
tt0000126	5.5	29
tt0000127	4.6	25
tt0000128	5.6	37
tt0000129	6.5	49
tt0000130	5.1	27
tt0000131	5.8	1308
tt0000132	5.1	1007
tt0000133	6.1	34
tt0000134	4.7	18
tt0000135	6.6	77
tt0000137	4.6	30
tt0000138	6.5	1055
tt0000139	5.3	24
tt0000140	4.9	276
tt0000141	5.2	91
tt0000142	4.7	28
tt0000143	4.9	244
tt0000144	5.1	295
tt0000145	3.9	13
tt0000146	5.1	26
tt0000147	5.2	440
tt0000148	3.7	14
tt0000149	4.6	21
tt0000150	5.4	156
tt0000151	4.9	57
tt0000152	6.1	232
tt0000153	5.7	411
tt0000154	4.1	13
tt0000155	5.1	27
tt0000156	4.1	22
tt0000157	4.1	15
tt0000158	3.5	15
tt0000159	5.3	116
tt0000160	5.3	26
tt0000161	3.9	14
tt0000162	5.4	452
tt0000163	5.1	13
tt0000164	5.1	286
tt0000165	4.6	116
tt0000166	3.8	18
tt0000167	4.0	134
tt0000168	3.5	16
tt0000169	3.8	45
tt0000170	5.2	236
tt0000171	4.5	14
tt0000172	6.1	850
tt0000173	4.9	44
tt0000174	4.6	125
tt0000175	5.0	206
tt0000176	4.9	12
tt0000177	4.6	234
tt0000178	5.2	169
tt0000179	4.5	40
tt0000181	6.8	59
tt0000182	4.9	531
tt0000183	6.0	35
tt0000184	4.9	311
tt0000186	4.2	21
tt0000187	5.0	51
tt0000188	4.0	11
tt0000190	4.9	139
tt0000192	4.6	180
tt0000194	5.4	83
tt0000196	5.2	27
tt0000197	4.4	19
tt0000198	4.4	18
tt0000199	4.3	13
tt0000204	5.7	13
tt0000205	5.0	30
tt0000206	5.0	12
tt0000207	5.5	12
tt0000208	5.7	540
tt0000209	4.7	28
tt0000210	4.9	31
tt0000211	7.5	4066
tt0000213	4.6	225
tt0000214	4.4	91
tt0000215	4.1	121
tt0000218	5.9	610
tt0000219	6.6	30
tt0000222	4.7	223
tt0000223	5.4	18
tt0000225	5.2	35
tt0000228	4.9	263
tt0000229	4.4	106
tt0000230	6.5	1577
tt0000231	3.6	16
tt0000233	6.0	10
tt0000234	6.0	68
tt0000235	6.3	826
tt0000239	5.5	231
tt0000240	4.4	88
tt0000242	6.4	1134
tt0000245	6.2	48
tt0000246	6.4	1005
tt0000247	5.0	470
tt0000248	6.0	1520
tt0000251	5.4	131
tt0000253	4.4	25
tt0000256	4.7	164
tt0000261	5.4	62
tt0000264	5.7	417
tt0000265	4.3	135
tt0000269	4.8	127
tt0000271	6.2	12
tt0000272	5.6	802
tt0000273	5.5	588
tt0000274	5.6	239
tt0000276	6.9	31
tt0000277	6.2	59
tt0000278	6.0	22
tt0000279	4.4	23
tt0000280	4.7	23
tt0000281	5.0	22
tt0000283	5.8	17
tt0000284	5.3	222
tt0000285	5.0	25
tt0000286	5.7	228
tt0000287	4.9	157
tt0000288	5.2	192
tt0000292	5.4	93
tt0000296	5.8	239
tt0000299	5.6	239
tt0000300	6.9	1211
tt0000301	4.4	388
tt0000302	5.1	199
tt0000304	6.1	1150
tt0000306	5.4	227
tt0000307	4.9	87
tt0000308	5.4	94
tt0000309	6.1	824
tt0000310	7.3	34
tt0000313	5.8	764
tt0000318	6.2	11
tt0000319	5.7	196
tt0000321	4.9	217
tt0000328	6.1	14
tt0000335	6.1	54
tt0000337	5.0	358
tt0000340	4.9	293
tt0000341	4.9	349
tt0000346	4.8	216
tt0000347	4.5	110
tt0000349	5.5	126
tt0000350	5.8	708
tt0000352	5.6	50
tt0000353	5.3	345
tt0000355	6.2	686
tt0000357	5.8	432
tt0000358	6.2	687
tt0000359	7.1	2848
tt0000361	8.1	25
tt0000363	6.3	148
tt0000364	5.6	161
tt0000368	6.2	22
tt0000370	5.6	469
tt0000373	6.4	81
tt0000376	6.5	19
tt0000377	6.2	118
tt0000379	5.2	10
tt0000380	7.2	27
tt0000381	4.1	25
tt0000384	5.8	263
tt0000387	5.1	354
tt0000388	5.2	126
tt0000399	6.1	732
tt0000400	6.4	16
tt0000402	6.7	10
tt0000406	5.4	44
tt0000407	3.8	38
tt0000409	5.1	223
tt0000410	6.7	987
tt0000412	4.1	25
tt0000413	5.5	433
tt0000414	5.4	736
tt0000416	5.3	152
tt0000417	8.2	48371
tt0000420	6.2	2590
tt0000422	6.0	9
tt0000423	5.5	227
tt0000425	5.4	25
tt0000426	4.8	21
tt0000430	5.9	675
tt0000432	5.7	210
tt0000436	6.2	498
tt0000437	5.2	251
tt0000439	7.3	18927
tt0000440	5.5	215
tt0000442	4.7	79
tt0000443	6.2	11
tt0000446	6.3	25
tt0000447	6.4	2381
tt0000451	6.6	874
tt0000452	4.7	108
tt0000455	6.8	1799
tt0000456	4.2	62
tt0000459	4.5	74
tt0000460	6.6	17
tt0000464	4.8	429
tt0000465	7.3	1525
tt0000469	5.8	1023
tt0000471	5.1	480
tt0000472	6.6	23
tt0000479	5.3	380
tt0000480	5.1	193
tt0000487	6.9	504
tt0000488	6.9	788
tt0000491	3.9	65
tt0000492	5.0	118
tt0000495	6.0	110
tt0000496	6.0	64
tt0000497	5.2	78
tt0000498	6.7	1164
tt0000499	7.5	3523
tt0000501	4.8	50
tt0000502	4.5	14
tt0000505	6.8	25
tt0000506	5.8	9
tt0000507	3.8	57
tt0000509	6.0	44
tt0000511	6.6	43
tt0000512	4.5	67
tt0000515	4.9	91
tt0000516	6.6	995
tt0000519	5.7	359
tt0000520	6.3	55
tt0000521	5.5	294
tt0000524	5.8	738
tt0000525	5.5	49
tt0000526	4.4	65
tt0000528	6.5	17
tt0000533	6.8	40
tt0000534	6.6	1132
tt0000535	5.0	59
tt0000537	4.5	91
tt0000543	5.2	17
tt0000546	6.7	1844
tt0000548	6.2	8
tt0000550	4.4	13
tt0000552	5.9	57
tt0000553	6.5	406
tt0000554	6.3	1272
tt0000555	5.2	17
tt0000557	4.7	132
tt0000561	5.2	51
tt0000565	6.3	582
tt0000567	6.8	1166
tt0000570	4.1	52
tt0000571	6.9	68
tt0000574	6.0	760
tt0000575	5.7	490
tt0000576	6.1	227
tt0000578	7.1	28
tt0000581	6.0	12
tt0000582	4.8	692
tt0000583	5.2	46
tt0000584	5.0	78
tt0000586	6.0	23
tt0000591	4.6	17
tt0000594	5.5	13
tt0000595	5.7	11
tt0000596	5.1	18
tt0000597	5.0	67
tt0000598	5.2	36
tt0000599	4.7	14
tt0000601	5.8	12
tt0000602	4.6	216
tt0000606	7.6	15
tt0000608	6.4	14
tt0000609	4.4	19
tt0000610	5.4	21
tt0000613	4.3	13
tt0000614	6.6	1041
tt0000615	4.5	23
tt0000617	4.8	34
tt0000618	8.7	14
tt0000621	6.5	580
tt0000624	8.2	15
tt0000627	6.1	62
tt0000628	5.7	813
tt0000629	5.7	86
tt0000630	3.8	24
tt0000632	5.1	51
tt0000634	4.7	26
tt0000637	5.5	676
tt0000638	5.3	84
tt0000639	5.3	92
tt0000640	4.5	137
tt0000641	4.8	162
tt0000642	5.5	67
tt0000644	5.5	63
tt0000645	5.1	168
tt0000648	4.6	156
tt0000650	8.0	21
tt0000651	5.1	61
tt0000653	4.5	206
tt0000654	5.2	104
tt0000658	6.5	227
tt0000659	5.2	78
tt0000660	5.8	63
tt0000661	6.7	18
tt0000662	4.7	64
tt0000663	5.6	62
tt0000665	5.8	64
tt0000666	5.8	32
tt0000668	7.1	50
tt0000669	4.8	154
tt0000671	6.7	16
tt0000672	6.2	45
tt0000673	6.0	9
tt0000674	4.7	45
tt0000675	4.9	19
tt0000676	4.4	17
tt0000677	7.6	21
tt0000679	5.3	66
tt0000680	5.8	48
tt0000681	5.9	41
tt0000682	6.9	2473
tt0000683	5.5	81
tt0000684	5.2	119
tt0000685	5.9	48
tt0000689	6.5	57
tt0000690	6.4	43
tt0000694	5.1	51
tt0000695	5.8	53
tt0000697	4.6	30
tt0000698	5.4	26
tt0000699	6.0	27
tt0000700	5.4	68
tt0000704	5.6	51
tt0000706	5.1	31
tt0000707	5.4	27
tt0000708	4.6	34
tt0000709	5.5	56
tt0000711	4.4	23
tt0000713	6.0	22
tt0000717	5.9	19
tt0000720	6.5	18
tt0000722	5.4	12
tt0000724	5.2	41
tt0000727	6.0	20
tt0000728	5.9	120
tt0000730	5.8	61
tt0000731	4.9	24
tt0000733	6.2	31
tt0000734	4.2	14
tt0000736	5.4	16
tt0000737	5.2	32
tt0000738	8.0	20
tt0000739	6.2	16
tt0000740	5.6	19
tt0000741	5.4	20
tt0000743	6.8	15
tt0000746	7.4	20
tt0000747	5.2	21
tt0000748	5.7	27
tt0000749	5.7	772
tt0000750	7.5	15
tt0000752	5.1	118
tt0000754	7.3	59
tt0000755	5.8	193
tt0000756	5.4	117
tt0000758	6.2	30
tt0000759	7.9	12
tt0000760	6.6	9
tt0000762	6.0	20
tt0000764	5.7	130
tt0000765	5.8	16
tt0000767	6.8	19
tt0000769	5.3	152
tt0000770	5.5	144
tt0000771	6.0	23
tt0000772	6.2	20
tt0000775	7.9	11
tt0000776	5.9	88
tt0000778	6.6	16
tt0000779	5.7	18
tt0000781	6.6	19
tt0000782	7.7	19
tt0000784	5.8	21
tt0000785	5.4	60
tt0000787	5.8	21
tt0000789	5.1	56
tt0000790	6.2	335
tt0000792	5.0	70
tt0000793	5.0	20
tt0000797	5.4	164
tt0000798	4.6	14
tt0000800	5.4	109
tt0000801	5.4	74
tt0000803	6.8	7
tt0000807	5.0	62
tt0000809	6.2	62
tt0000815	5.0	66
tt0000816	4.8	122
tt0000817	4.3	16
tt0000819	5.5	67
tt0000821	4.9	115
tt0000823	4.8	54
tt0000825	4.8	56
tt0000826	4.8	55
tt0000827	5.3	91
tt0000828	5.3	107
tt0000829	4.7	59
tt0000831	5.3	130
tt0000832	6.6	2412
tt0000833	6.4	666
tt0000835	4.9	148
tt0000836	4.8	47
tt0000837	5.5	43
tt0000840	5.6	325
tt0000841	5.2	71
tt0000843	5.7	41
tt0000844	6.2	18
tt0000845	5.0	43
tt0000847	6.3	17
tt0000848	5.5	24
tt0000851	5.3	46
tt0000852	5.7	230
tt0000853	5.7	41
tt0000854	5.9	495
tt0000855	5.7	51
tt0000857	5.2	38
tt0000858	5.2	38
tt0000860	4.8	72
tt0000861	5.3	60
tt0000862	5.1	16
tt0000864	5.9	60
tt0000866	6.3	9
tt0000870	5.5	59
tt0000871	5.8	112
tt0000873	6.4	11
tt0000874	5.2	52
tt0000875	4.9	38
tt0000877	4.9	97
tt0000878	5.0	168
tt0000880	5.9	79
tt0000882	5.8	202
tt0000883	7.0	8
tt0000884	4.4	12
tt0000886	4.8	38
tt0000887	5.0	47
tt0000890	7.1	32
tt0000891	5.5	47
tt0000892	5.7	69
tt0000893	6.3	38
tt0000895	5.6	198
tt0000896	4.3	24
tt0000897	5.6	60
tt0000898	5.7	26
tt0000900	4.7	24
tt0000901	5.3	25
tt0000902	5.3	16
tt0000903	6.2	22
tt0000904	5.4	112
tt0000905	5.6	24
tt0000907	6.2	23
tt0000908	6.3	31
tt0000910	5.3	26
tt0000911	3.4	26
tt0000912	4.4	63
tt0000916	6.0	57
tt0000917	5.4	21
tt0000919	4.3	24
tt0000920	5.2	24
tt0000921	5.6	26
tt0000922	5.6	105
tt0000924	6.1	168
tt0000928	5.4	92
tt0000929	5.5	46
tt0000930	4.6	12
tt0000932	4.3	10
tt0000933	5.1	48
tt0000934	4.8	19
tt0000935	6.3	93
tt0000936	6.8	87
tt0000938	4.6	178
tt0000939	5.4	20
tt0000941	4.8	23
tt0000942	6.1	968
tt0000943	5.6	12
tt0000944	4.8	11
tt0000945	4.8	70
tt0000946	4.6	74
tt0000950	4.8	16
tt0000954	5.0	16
tt0000956	6.9	16
tt0000957	6.3	44
tt0000958	5.7	15
tt0000960	4.7	275
tt0000961	8.2	22
tt0000962	5.3	15
tt0000964	5.3	17
tt0000966	5.7	337
tt0000967	5.3	18
tt0000969	6.7	25
tt0000970	5.8	73
tt0000971	6.4	146
tt0000972	5.9	85
tt0000974	5.3	52
tt0000975	5.8	19
tt0000976	4.7	20
tt0000978	6.8	8
tt0000979	5.2	29
tt0000981	5.6	51
tt0000983	5.4	14
tt0000985	4.4	15
tt0000986	5.1	109
tt0000987	7.8	9
tt0000988	5.1	21
tt0000989	5.0	42
tt0000990	6.2	76
tt0000992	4.6	15
tt0000993	5.0	14
tt0000995	7.3	18
tt0000996	4.8	10
tt0000997	6.7	16
tt0000998	5.6	18
tt0000999	5.4	9
tt0001000	5.5	48
tt0001001	5.5	125
tt0001002	4.9	93
tt0001005	4.7	16
tt0001008	5.6	29
tt0001009	6.5	937
tt0001010	4.6	14
tt0001011	5.3	17
tt0001013	5.9	373
tt0001014	5.1	109
tt0001015	4.7	23
tt0001016	5.2	135
tt0001020	5.2	14
tt0001023	6.0	14
tt0001024	5.0	12
tt0001025	7.7	17
tt0001027	6.0	17
tt0001028	4.4	17
tt0001029	5.3	48
tt0001031	4.4	14
tt0001032	6.0	847
tt0001033	5.1	19
tt0001035	5.0	34
tt0001036	3.5	12
tt0001037	3.9	18
tt0001038	3.8	21
tt0001041	5.5	36
